# Frequency[MHz]  A/T[m^2/K]
49.9200 0.08108541
58.8800 0.12708399
69.1200 0.19313526
79.3600 0.26889956
88.3200 0.34790602
89.6000 0.35992220
99.8400 0.45791435
108.8000 0.54317510
119.0400 0.64537138
129.2800 0.72593176
139.5200 0.77999526
149.7600 0.81399006
154.8800 0.81328434
160.0000 0.82130533
168.9600 0.83234066
179.2000 0.80711645
185.6000 0.78002822
189.4400 0.76139593
199.6800 0.72337192
209.9200 0.67551762
216.3200 0.64335340
218.8800 0.63272887
229.1200 0.57481843
239.3600 0.53637487
249.6000 0.49195838
259.8400 0.45836046
268.8000 0.43229020
279.0400 0.40264183
289.2800 0.36778462
299.5200 0.34568927
309.7600 0.31926513
320.0000 0.29071471
328.9600 0.27189979
339.2000 0.24464171
349.4400 0.21365322
