# Frequency[MHz]  A/T[m^2/K]
49.9200 0.08070140
58.8800 0.12636775
69.1200 0.19189328
79.3600 0.26597992
88.3200 0.34483653
89.6000 0.35681897
99.8400 0.45480454
108.8000 0.54043382
119.0400 0.63895017
129.2800 0.71592677
139.5200 0.76550961
149.7600 0.79067904
154.8800 0.78392071
160.0000 0.78782070
168.9600 0.79242998
179.2000 0.76584971
185.6000 0.73773193
189.4400 0.71904302
199.6800 0.68388212
209.9200 0.63631707
216.3200 0.60459000
218.8800 0.59457725
229.1200 0.54030275
239.3600 0.50399208
249.6000 0.46234885
259.8400 0.43111598
268.8000 0.40596417
279.0400 0.37768435
289.2800 0.34934446
299.5200 0.33126718
309.7600 0.30661303
320.0000 0.27794394
328.9600 0.25844479
339.2000 0.22920968
349.4400 0.20124969
